Company,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
SerenityOS,190.25,175.11,182.25,196.58,220.59,234.48,255.77,266.02,279.97,279.36,301.63,295.44,306.5,340.84,344.68
open-mmlab,356.15,360.22,323.16,345.9,346.22,350.51,337.87,340.07,338.56,334.62,348.21,370.42,406.13,413.89,408.01
expo,438.87,441.4,441.98,442.85,437.02,436.69,443.9,446.55,465.69,485.42,490.95,513.19,525.75,538.02,545.51
conda-forge,567.89,575.15,580.71,600.9,606.24,577.23,560.22,577.5,588.84,588.51,597.05,606.3,593.71,598.71,629.96
alibaba,331.43,349.35,396.77,403.4,482.67,519.62,545.03,511.36,555.66,545.41,543.92,532.34,602.74,610.72,627.64
argoproj,453.35,421.84,410.98,430.89,448.06,431.51,412.29,420.88,408.18,404.43,377.88,369.13,371.69,368.8,392.63
azerothcore,255.01,259.86,274.9,340.22,345.01,356.28,344.0,370.78,403.05,395.02,390.37,402.53,452.86,449.61,469.87
mdn,108.59,122.54,125.53,120.65,123.66,142.22,150.23,163.03,171.58,194.47,212.48,225.77,249.64,273.08,289.93
dotnet,598.96,596.99,600.72,602.87,602.6,607.31,606.34,620.75,644.36,632.59,646.77,658.84,702.65,703.33,753.41
ansible,1044.23,1064.61,1085.71,1096.25,1113.75,1137.19,1156.29,1180.39,1200.47,1213.66,1228.23,1251.56,1264.42,1290.08,1305.04
bitcoin,622.58,626.58,631.42,623.68,643.2,641.42,633.34,655.59,645.59,674.99,682.15,683.33,707.76,749.13,772.9
openhab,697.19,703.64,732.59,773.15,788.13,788.37,791.8,779.4,786.15,830.2,843.43,810.45,820.35,787.48,815.95
renovatebot,671.27,648.83,589.12,589.73,601.83,572.07,552.34,567.44,559.52,583.26,582.79,624.08,623.11,628.92,635.75
PowerShell,805.61,820.17,847.24,820.68,840.15,836.97,799.85,880.52,854.22,848.11,820.3,794.6,796.13,804.08,852.77
Skyrat-SS13,196.77,202.07,203.96,224.95,213.64,219.69,221.87,248.14,251.13,212.22,217.7,206.64,212.17,209.58,237.63
vitejs,172.66,160.01,177.22,182.24,204.22,212.96,208.41,227.32,244.39,253.39,279.13,275.58,297.27,304.95,320.01
aws-amplify,429.66,438.64,458.49,494.08,509.82,525.53,536.53,553.03,546.27,549.87,565.03,544.07,582.09,573.87,566.19
element-plus,107.37,113.34,134.77,139.76,142.0,138.93,149.45,179.11,195.9,207.98,203.99,220.96,243.65,256.92,267.92
opencv,1100.27,1119.93,1115.67,1104.02,1145.36,1125.96,1099.57,1145.25,1192.02,1241.9,1230.6,1245.49,1254.91,1231.19,1259.03
void-linux,680.74,688.57,685.0,695.37,712.43,783.35,801.29,812.63,834.07,846.41,847.69,864.71,882.5,903.91,906.28
PrestaShop,869.96,869.7,892.2,918.04,926.78,910.07,889.04,863.61,847.4,853.62,941.47,931.25,977.34,981.89,1003.69
github,195.41,185.96,188.11,195.64,202.83,218.04,239.28,261.45,284.7,304.15,319.33,333.37,356.1,377.12,387.32
sourcegraph,372.02,358.16,354.65,348.29,337.04,322.44,307.74,329.52,344.36,353.02,360.31,374.71,387.79,401.16,399.0
cypress-io,457.24,437.06,397.62,387.52,406.85,376.2,401.31,395.3,412.18,433.94,446.08,485.13,516.98,535.96,557.97
ankidroid,371.52,372.51,385.09,320.34,285.07,284.14,302.77,336.12,361.15,366.1,392.32,428.16,430.72,504.46,527.37
Expensify,156.16,162.89,177.73,183.57,188.9,196.43,208.24,224.47,238.65,243.05,250.52,268.07,294.23,298.25,300.3
gravitational,273.1,266.42,254.0,260.47,242.87,229.25,220.66,234.98,255.85,260.58,270.16,279.73,269.18,273.12,267.42
kubevirt,492.14,490.51,452.03,495.32,475.35,465.34,453.19,464.47,482.59,504.71,509.5,528.43,533.71,530.69,538.13
