Company,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
espressif,112.07,19.35,23.76,24.8,38.8,46.72,35.25,10.43,18.0,45.5,23.71,21.33,18.58,21.14,6.62
apache,21.92,18.12,22.06,21.56,19.14,16.54,22.97,16.87,12.23,13.85,13.13,14.91,7.15,6.9,3.6
scikit-learn,22.07,21.82,22.93,13.05,17.18,13.69,12.99,18.79,10.89,17.9,8.87,8.38,8.31,5.46,1.83
laravel,0.88,0.58,1.53,1.04,1.44,1.55,1.1,2.2,1.79,2.51,0.63,2.5,1.25,0.79,0.99
ethereum,1.51,3.2,3.28,6.88,4.44,4.33,5.47,6.41,6.82,6.69,14.71,22.37,10.38,13.7,2.23
ant-design,11.96,15.74,9.17,5.13,3.96,2.53,5.4,3.9,2.62,2.68,1.67,1.86,2.73,1.93,1.18
directus,9.65,6.46,3.29,5.11,4.11,2.23,5.69,6.04,12.73,7.0,12.99,10.8,5.39,4.54,1.86
rails,18.71,20.52,18.2,20.36,13.84,14.64,16.17,10.41,9.16,12.19,6.83,6.5,2.68,2.39,1.69
vectordotdev,5.08,7.05,8.23,6.35,7.61,7.78,5.34,7.02,3.49,9.83,14.67,5.27,3.12,1.73,1.33
gatsbyjs,9.16,17.32,15.35,9.91,14.35,20.83,12.81,10.2,9.32,5.42,3.94,2.66,1.79,0.71,1.44
